,order_id,uuid_x,customer_id,created_at,updated_at,location_id,location_table_id,notes,status,total,order_method,order_number,sub_total,expires_at,delivery_fee,is_reported,report_message,address_id,delivery_date,status_class,id,uuid_y,action_at,admin_id,comment,action_type,order_seconds
408,177,cl2q8xma751520ns6vtvkrdfz,10.0,2022-05-03 14:28:56.719,2022-05-03 14:29:11.260,6.0,,,PAYMENT_PENDING,6.3,DINE_IN,522072271.0,6.0,2022-05-05 14:28:56.718,0.0,False,,,,3.0,383,cl2q8xxi352410ns6nmhzfjev,2022-05-03 14:29:11.259,,,PAYMENT_PENDING,0.0
409,178,cl2q9ty8n68560ns63dfvq2zs,10.0,2022-05-03 14:54:05.207,2022-05-03 16:13:02.859,6.0,,,PENDING,10.5,DINE_IN,522194989.0,10.0,2022-05-05 14:54:05.205,0.0,False,,,,2.0,384,cl2q9ty8n68580ns6zhxlcno2,2022-05-03 14:54:05.207,,,OPEN,0.0
410,178,cl2q9ty8n68560ns63dfvq2zs,10.0,2022-05-03 14:54:05.207,2022-05-03 16:13:02.859,6.0,,,PENDING,10.5,DINE_IN,522194989.0,10.0,2022-05-05 14:54:05.205,0.0,False,,,,2.0,385,cl2q9u38u69610ns6zfb2jc6o,2022-05-03 14:54:11.694,,,PAYMENT_PENDING,0.0
411,178,cl2q9ty8n68560ns63dfvq2zs,10.0,2022-05-03 14:54:05.207,2022-05-03 16:13:02.859,6.0,,,PENDING,10.5,DINE_IN,522194989.0,10.0,2022-05-05 14:54:05.205,0.0,False,,,,2.0,395,cl2qck0oo154560ns6h6f2xvft,2022-05-03 16:10:20.664,1.0,Holaaa,COMMENT,0.0
412,178,cl2q9ty8n68560ns63dfvq2zs,10.0,2022-05-03 14:54:05.207,2022-05-03 16:13:02.859,6.0,,,PENDING,10.5,DINE_IN,522194989.0,10.0,2022-05-05 14:54:05.205,0.0,False,,,,2.0,396,cl2qcnbxl157330ns6u4nn0rmf,2022-05-03 16:12:55.209,1.0,,PENDING,0.0
413,178,cl2q9ty8n68560ns63dfvq2zs,10.0,2022-05-03 14:54:05.207,2022-05-03 16:13:02.859,6.0,,,PENDING,10.5,DINE_IN,522194989.0,10.0,2022-05-05 14:54:05.205,0.0,False,,,,2.0,397,cl2qcnd7b157660ns68v8jvm1j,2022-05-03 16:12:56.855,1.0,,PAYMENT_PENDING,0.0
414,178,cl2q9ty8n68560ns63dfvq2zs,10.0,2022-05-03 14:54:05.207,2022-05-03 16:13:02.859,6.0,,,PENDING,10.5,DINE_IN,522194989.0,10.0,2022-05-05 14:54:05.205,0.0,False,,,,2.0,398,cl2qcnet1157990ns6240a2c43,2022-05-03 16:12:58.933,1.0,,PENDING,0.0
415,178,cl2q9ty8n68560ns63dfvq2zs,10.0,2022-05-03 14:54:05.207,2022-05-03 16:13:02.859,6.0,,,PENDING,10.5,DINE_IN,522194989.0,10.0,2022-05-05 14:54:05.205,0.0,False,,,,2.0,399,cl2qcnge4158320ns6pqt1bp64,2022-05-03 16:13:00.988,1.0,,PREPARING,0.0
416,178,cl2q9ty8n68560ns63dfvq2zs,10.0,2022-05-03 14:54:05.207,2022-05-03 16:13:02.859,6.0,,,PENDING,10.5,DINE_IN,522194989.0,10.0,2022-05-05 14:54:05.205,0.0,False,,,,2.0,400,cl2qcnhu0158650ns6kiapns5k,2022-05-03 16:13:02.856,1.0,,PENDING,0.0
417,186,cl2qg7dc8206090ns61pqq3wk2,10.0,2022-05-03 17:52:29.000,2022-05-03 17:52:29.497,6.0,,,OPEN,10.5,DINE_IN,522855620.0,10.0,2022-05-05 17:52:28.998,0.0,False,,,,1.0,405,cl2qg7dc8206110ns6w01kmnn2,2022-05-03 17:52:29.000,,,OPEN,0.0
418,179,cl2q9x8kn74560ns6wb9xukw1,10.0,2022-05-03 14:56:38.567,2022-05-03 14:56:48.089,6.0,,,PAYMENT_PENDING,10.5,DINE_IN,522509704.0,10.0,2022-05-05 14:56:38.542,0.0,False,,,,3.0,386,cl2q9x8kn74580ns69hz6uceg,2022-05-03 14:56:38.567,,,OPEN,0.0
419,179,cl2q9x8kn74560ns6wb9xukw1,10.0,2022-05-03 14:56:38.567,2022-05-03 14:56:48.089,6.0,,,PAYMENT_PENDING,10.5,DINE_IN,522509704.0,10.0,2022-05-05 14:56:38.542,0.0,False,,,,3.0,387,cl2q9xfx475440ns6lmlz8hn4,2022-05-03 14:56:48.088,,,PAYMENT_PENDING,0.0
